date,code,name,rec_date,trend,ret_1d,ret_3d,ret_5d,ret_15d
2026-05-26,002415,海康威视,2026-05-22,震荡,-9.43,1.76,-9.43,-9.43
2026-05-26,600703,三安光电,2026-05-22,震荡,-16.89,0.0,-16.89,-16.89
2026-05-26,002049,紫光国微,2026-05-22,震荡,-2.86,5.3,-2.86,-2.86
2026-05-26,600584,长电科技,2026-05-22,震荡,-44.11,11.02,-44.11,-44.11
2026-05-26,603906,龙蟠科技,2026-05-22,震荡,-33.55,-4.89,-33.55,-33.55
2026-05-26,605566,福莱蒽特,2026-05-22,震荡,-19.19,3.09,-19.19,-19.19
2026-05-26,603090,宏盛股份,2026-05-22,震荡,-24.85,-3.41,-24.85,-24.85
2026-05-26,603311,金海高科,2026-05-22,震荡,-60.95,-5.6,-60.95,-60.95
2026-05-26,603075,热威股份,2026-05-22,震荡,-14.03,1.55,-14.03,-14.03
2026-05-26,603678,火炬电子,2026-05-25,震荡,-0.64,-19.69,-19.69,-19.69
2026-05-26,603919,金徽酒,2026-05-26,震荡,-6.24,-6.24,-6.24,-6.24
2026-05-26,605111,新洁能,2026-05-26,震荡,-44.5,-44.5,-44.5,-44.5
2026-05-26,603303,得邦照明,2026-05-26,震荡,-46.48,-46.48,-46.48,-46.48
2026-05-26,002594,比亚迪,2026-05-22,震荡,1.21,2.58,1.21,1.21
2026-05-26,002459,晶澳科技,2026-05-22,震荡,15.45,-0.63,15.45,15.45
2026-05-26,603667,五洲新春,2026-05-22,震荡,-38.32,5.04,-38.32,-38.32
2026-05-26,002836,新宏泽,2026-05-22,震荡,34.14,-0.5,34.14,34.14
2026-05-26,002230,科大讯飞,2026-05-22,震荡,4.04,1.37,4.04,4.04
2026-05-26,002415,海康威视,2026-05-22,震荡,-9.43,1.76,-9.43,-9.43
2026-05-26,600703,三安光电,2026-05-22,震荡,-16.89,0.0,-16.89,-16.89
2026-05-26,002049,紫光国微,2026-05-22,震荡,-2.86,5.3,-2.86,-2.86
2026-05-26,600584,长电科技,2026-05-22,震荡,-44.11,11.02,-44.11,-44.11
2026-05-26,603906,龙蟠科技,2026-05-22,震荡,-33.55,-4.89,-33.55,-33.55
2026-05-26,605566,福莱蒽特,2026-05-22,震荡,-19.19,3.09,-19.19,-19.19
2026-05-26,603090,宏盛股份,2026-05-22,震荡,-24.85,-3.41,-24.85,-24.85
2026-05-26,603311,金海高科,2026-05-22,震荡,-60.95,-5.6,-60.95,-60.95
2026-05-26,603075,热威股份,2026-05-22,震荡,-14.03,1.55,-14.03,-14.03
2026-05-26,603678,火炬电子,2026-05-25,震荡,-0.64,-19.69,-19.69,-19.69
2026-05-26,603919,金徽酒,2026-05-26,震荡,-6.24,-6.24,-6.24,-6.24
2026-05-26,605111,新洁能,2026-05-26,震荡,-44.5,-44.5,-44.5,-44.5
2026-05-26,603303,得邦照明,2026-05-26,震荡,-46.48,-46.48,-46.48,-46.48
2026-05-27,002594,比亚迪,2026-05-22,震荡,1.77,2.58,2.21,1.77
2026-05-27,002459,晶澳科技,2026-05-22,震荡,15.97,-0.63,-2.82,15.97
2026-05-27,603667,五洲新春,2026-05-22,震荡,-38.87,5.04,-4.12,-38.87
2026-05-27,002836,新宏泽,2026-05-22,震荡,29.54,-0.51,-4.35,29.54
2026-05-27,002230,科大讯飞,2026-05-22,震荡,4.25,1.37,4.13,4.25
2026-05-27,002415,海康威视,2026-05-22,震荡,-9.46,1.76,0.54,-9.46
2026-05-27,600703,三安光电,2026-05-22,震荡,-16.32,0.0,0.89,-16.32
2026-05-27,002049,紫光国微,2026-05-22,震荡,-1.06,5.3,7.61,-1.06
2026-05-27,600584,长电科技,2026-05-22,震荡,-43.66,11.02,30.57,-43.66
2026-05-27,603906,龙蟠科技,2026-05-22,震荡,-32.9,-4.89,-6.61,-32.9
2026-05-27,605566,福莱蒽特,2026-05-22,震荡,-17.43,3.09,14.51,-17.43
2026-05-27,603090,宏盛股份,2026-05-22,震荡,-26.01,-3.41,-10.01,-26.01
2026-05-27,603311,金海高科,2026-05-22,震荡,-61.12,-5.6,-5.77,-61.12
2026-05-27,603075,热威股份,2026-05-22,震荡,-14.27,1.55,2.41,-14.27
2026-05-27,603678,火炬电子,2026-05-25,震荡,-0.64,-16.72,-16.72,-16.72
2026-05-27,603919,金徽酒,2026-05-26,震荡,-0.63,-5.33,-5.33,-5.33
2026-05-27,605111,新洁能,2026-05-26,震荡,7.16,-43.96,-43.96,-43.96
2026-05-27,603303,得邦照明,2026-05-26,震荡,2.46,-45.94,-45.94,-45.94
2026-05-27,600378,昊华科技,2026-05-27,震荡,-24.5,-24.5,-24.5,-24.5
2026-05-27,600367,红星发展,2026-05-27,震荡,-42.42,-42.42,-42.42,-42.42
2026-05-27,603353,和顺石油,2026-05-27,震荡,-50.09,-50.09,-50.09,-50.09
2026-05-27,002594,比亚迪,2026-05-22,震荡,1.77,2.58,2.21,1.77
2026-05-27,002459,晶澳科技,2026-05-22,震荡,15.97,-0.63,-2.82,15.97
2026-05-27,603667,五洲新春,2026-05-22,震荡,-38.87,5.04,-4.12,-38.87
2026-05-27,002836,新宏泽,2026-05-22,震荡,29.54,-0.51,-4.35,29.54
2026-05-27,002230,科大讯飞,2026-05-22,震荡,4.25,1.37,4.13,4.25
2026-05-27,002415,海康威视,2026-05-22,震荡,-9.46,1.76,0.54,-9.46
2026-05-27,600703,三安光电,2026-05-22,震荡,-16.32,0.0,0.89,-16.32
2026-05-27,002049,紫光国微,2026-05-22,震荡,-1.06,5.3,7.61,-1.06
2026-05-27,600584,长电科技,2026-05-22,震荡,-43.66,11.02,30.57,-43.66
2026-05-27,603906,龙蟠科技,2026-05-22,震荡,-32.9,-4.89,-6.61,-32.9
2026-05-27,605566,福莱蒽特,2026-05-22,震荡,-17.43,3.09,14.51,-17.43
2026-05-27,603090,宏盛股份,2026-05-22,震荡,-26.01,-3.41,-10.01,-26.01
2026-05-27,603311,金海高科,2026-05-22,震荡,-61.12,-5.6,-5.77,-61.12
2026-05-27,603075,热威股份,2026-05-22,震荡,-14.27,1.55,2.41,-14.27
2026-05-27,603678,火炬电子,2026-05-25,震荡,-0.64,-16.72,-16.72,-16.72
2026-05-27,603919,金徽酒,2026-05-26,震荡,-0.63,-5.33,-5.33,-5.33
2026-05-27,605111,新洁能,2026-05-26,震荡,7.16,-43.96,-43.96,-43.96
2026-05-27,603303,得邦照明,2026-05-26,震荡,2.46,-45.94,-45.94,-45.94
2026-05-27,600378,昊华科技,2026-05-27,震荡,-24.5,-24.5,-24.5,-24.5
2026-05-27,600367,红星发展,2026-05-27,震荡,-42.42,-42.42,-42.42,-42.42
2026-05-27,603353,和顺石油,2026-05-27,震荡,-50.09,-50.09,-50.09,-50.09
